BHARTI AIRTEL LIMITED 

PAN India 

Call Details of Mobile No '9714499703' from '01-Jun-2025' to '05-Jun-2026' 

Target No,Call Type,TOC,B Party No,LRN No,LRN TSP-LSA,Date,Time,Dur(s),First CGI Lat/Long,First CGI,Last CGI Lat/Long,Last CGI,SMSC No,Service Type,IMEI,IMSI,Call Fow No,Roam Nw,SW & MSC ID,IN TG,OUT TG,Vowifi First UE IP,Port1,Vowifi Last UE IP,Port2
'9714499703',SMT,Post,'AD-Airtel-S',,-,'15/04/2026',08:26:10,0,21.29669/72.8915,404-98-8331-230711555,,---,'919892341012',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898092816',,,,,,
'9714499703',SMT,Post,'AD-Airtel-S',,-,'15/04/2026',08:26:11,0,21.29669/72.8915,404-98-8331-230711555,,---,'919892341012',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898092816',,,,,,
'9714499703',SMT,Post,'AD-Airtel-S',,-,'15/04/2026',08:26:15,0,21.29669/72.8915,404-98-8331-230711555,,---,'919892341012',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898092816',,,,,,
'9714499703',SMO,Post,'55757020',,-,'15/04/2026',08:27:40,0,21.29669/72.8915,404-98-8331-230711555,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VK-NAVIHQ-S',,-,'15/04/2026',08:44:30,0,21.29669/72.8915,404-98-8331-230711655,,---,'919830099994',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',OUT,Post,'8128778750',4106,VODA-GJ,'15/04/2026',09:42:17,41,21.29327/72.88987,404-98-8331-221532674,21.2741/72.86936,404-98-8331-236717574,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,10.92.26.67,,,,
'9714499703',OUT,Post,'9638822152',4106,VODA-GJ,'15/04/2026',09:50:23,32,21.24234/72.88804,404-98-8307-241706351,21.24234/72.88804,404-98-8307-241706241,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,10.92.26.67,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',10:17:14,70,21.23121/72.89262,404-98-8307-241910353,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.57.101.148,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',10:20:33,0,21.23121/72.89262,404-98-8307-241910278,,---,'917016075021',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',10:20:35,0,21.23121/72.89262,404-98-8307-241910278,,---,'917016075021',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',10:26:32,39,21.23121/72.89262,404-98-8307-241910353,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',10:33:21,52,21.23121/72.89262,404-98-8307-241910353,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.5.62.236,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',10:59:26,124,21.23121/72.89262,404-98-8307-241910354,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',11:04:03,14,21.23121/72.89262,404-98-8307-241910353,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',11:21:29,16,21.20759/72.84608,404-98-8222-241967618,21.20759/72.84608,404-98-8222-241967618,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',SMT,Post,'VM-CANBNK-S',,-,'15/04/2026',11:49:46,0,21.20432/72.83996,404-98-8248-242308463,,---,'919702000556',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',12:04:51,104,21.20502/72.84327,404-98-8248-234230792,21.20502/72.84327,404-98-8248-234230792,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'8401382222',3576,AIR-GJ,'15/04/2026',12:22:59,20,21.20502/72.84327,404-98-8248-234230792,21.20502/72.84327,404-98-8248-234230792,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',12:31:48,39,21.20502/72.84327,404-98-8248-234230792,21.20502/72.84327,404-98-8248-234230792,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.57.101.149,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'8849946676',3088,RJIL-GJ,'15/04/2026',12:44:40,34,21.20432/72.83996,404-98-8248-242308464,21.19857/72.84108,404-98-8248-242141192,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc857.mcc405.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',12:54:00,120,21.09864/72.87397,404-98-8103-240910594,21.07305/72.86834,404-98-8103-241802502,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.57.101.148,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',13:54:22,69,20.42633/72.91679,404-98-8746-233670993,20.40178/72.91556,404-98-8745-242115587,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.57.101.148,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',13:58:19,47,20.37828/72.90808,404-98-8745-230635346,20.37444/72.91165,404-98-8745-230807560,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.57.101.149,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',13:59:40,36,20.37154/72.90749,404-98-8745-230512977,20.37154/72.90749,404-98-8745-230512902,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',14:07:56,0,20.37517/72.90749,404-98-8745-236526343,,---,'917016075019',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',14:07:58,0,20.37517/72.90749,404-98-8745-236526343,,---,'917016075019',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',14:07:59,0,20.37517/72.90749,404-98-8745-236526343,,---,'917016075019',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',14:08:00,0,20.37517/72.90749,404-98-8745-236526343,,---,'917016075019',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'51403F',,-,'15/04/2026',14:11:02,0,20.37154/72.90749,404-98-8745-230512902,,---,'918299901123',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JM-DCBBNK-P',,-,'15/04/2026',14:20:56,0,20.37828/72.90808,404-98-8745-230635375,,---,'917021075015',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',14:30:54,38,20.51648/72.92566,404-98-8132-230617938,20.51648/72.92566,404-98-8132-230617864,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
