operator,target_number,b_party_number,call_type,timestamp,duration,latitude,longitude,first_cgi,first_bts_location,last_cgi,imei
airtel,This is System generated report and needs no signature. Report generated on: 05-Jun-2026 12:13,,,,0,,,,,,
airtel,9714499703,AD-Airtel-S,SMT,2026-04-15T08:26:10,0,21.29669,72.8915,404-98-8331-230711555,21.29669/72.8915,---,866588055801530
airtel,9714499703,AD-Airtel-S,SMT,2026-04-15T08:26:11,0,21.29669,72.8915,404-98-8331-230711555,21.29669/72.8915,---,866588055801530
airtel,9714499703,AD-Airtel-S,SMT,2026-04-15T08:26:15,0,21.29669,72.8915,404-98-8331-230711555,21.29669/72.8915,---,866588055801530
airtel,9714499703,55757020,SMO,2026-04-15T08:27:40,0,21.29669,72.8915,404-98-8331-230711555,21.29669/72.8915,---,866588055801530
airtel,9714499703,AD-Airtel-S,SMT,2026-04-16T19:36:29,0,21.21876,72.89545,404-98-8307-240911205,21.21876/72.89545,---,866588055801530
airtel,9714499703,52263,SMT,2026-04-19T13:10:39,0,21.23121,72.89262,404-98-8307-241910356,21.23121/72.89262,---,866588055801530
airtel,9714499703,JD-CANBNK-S,SMT,2026-04-21T02:12:16,0,21.29669,72.8915,404-98-8331-230711555,21.29669/72.8915,---,866588055801530
airtel,9714499703,JD-CANBNK-S,SMT,2026-04-23T20:57:04,0,21.23121,72.89262,404-98-8307-241910373,21.23121/72.89262,---,866588055801530
airtel,9714499703,9638822152,OUT,2026-04-24T17:38:23,20,21.22998,72.90179,404-98-8307-230538351,21.22998/72.90179,404-98-8307-230538241,866588055801530
airtel,9714499703,8849998625,IN,2026-04-27T22:29:30,17,21.29051,72.89434,404-98-8331-232984073,21.29051/72.89434,404-98-8331-232984145,866588055801530
airtel,9714499703,8128778750,OUT,2026-05-01T15:31:57,31,21.23121,72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910273,866588055801530
airtel,9714499703,JK-CANBNK-S,SMT,2026-05-03T19:28:30,0,21.29051,72.89434,404-98-8331-232984065,21.29051/72.89434,---,866588055801530
airtel,9714499703,9638822152,IN,2026-05-08T15:53:46,94,21.23121,72.89262,404-98-8307-241910273,21.23121/72.89262,404-98-8307-241910273,866588055801530
airtel,9714499703,8347865461,IN,2026-05-13T13:47:39,75,21.29669,72.8915,404-98-8331-230711635,21.29669/72.8915,404-98-8331-230711635,866588055801530
airtel,9714499703,7861987040,IN,2026-05-16T20:42:52,50,21.29198,72.87794,404-98-8331-241631233,21.29198/72.87794,404-98-8331-241631233,866588055801530
airtel,9714499703,8401382222,IN,2026-05-20T20:15:10,82,21.29669,72.8915,404-98-8331-230711635,21.29669/72.8915,404-98-8331-230711635,866588055801530
airtel,9714499703,8128778750,IN,2026-05-25T17:20:58,19,21.29198,72.87794,404-98-8331-241631313,21.29198/72.87794,404-98-8331-241631313,866588055801530
airtel,9714499703,7202893740,OUT,2026-05-29T17:26:41,38,19.2953181,72.8591128,404-92-4213-231463381,19.2953181/72.8591128,404-92-4213-231463191,866588055801530
airtel,9714499703,7022403112,DSM,2026-06-01T18:46:20,0,19.2953181,72.8591128,404-92-4213-231463170,19.2953181/72.8591128,---,866588055801530
airtel,9714499703,AD-Airtel-S,SMT,2026-06-04T19:29:07,0,21.2932688,72.8898732,404-98-8331-221532675,21.2932688/72.8898732,---,866588055801530
airtel,9714499703,7202893740,IN,2026-06-04T20:25:11,17,21.2966927,72.8914986,404-98-8331-230711635,21.2966927/72.8914986,404-98-8331-230711635,866588055801530
airtel,9714499703,7202893740,OUT,2026-06-04T20:27:40,25,21.2966927,72.8914986,404-98-8331-230711560,21.2966927/72.8914986,404-98-8331-230711635,866588055801530
airtel,9714499703,AD-CANBNK-S,SMT,2026-06-04T20:28:25,0,21.2966927,72.8914986,404-98-8331-230711655,21.2966927/72.8914986,---,866588055801530
