operator,target_number,b_party_number,call_type,timestamp,duration,latitude,longitude,first_cgi,first_bts_location,last_cgi,imei
jio,Disclaimer : This is system generated data. Signature is not required.,,,,0,,,,,,
jio,JP-JioPay-S,919877535365,A2P_SMSIN,2026-01-01T01:11:49,0,,,40585703AD319,,,866566042914856
jio,JP-JioPay-S,919877535365,A2P_SMSIN,2026-01-01T01:11:49,0,,,40585703AD319,,,866566042914856
jio,JP-JioPay-S,919877535365,A2P_SMSIN,2026-01-01T01:11:49,0,,,40585703AD319,,,866566042914856
jio,JP-JioPay-S,919877535365,A2P_SMSIN,2026-01-01T01:11:49,0,,,40585703AD319,,,866566042914856
jio,917069841567,919877535365,a_in,2026-01-10T19:58:52,11,,,40585705B1131,,40585705B1131,866566042914850
jio,919877535365,916301495154,a_out_vw,2026-01-20T19:01:04,602,,,40585705ADB15,,202.179.159.4:27950,866566042914850
jio,JP-JioPay-S,919877535365,A2P_SMSIN,2026-01-30T22:29:23,0,,,40585703AD330,,,866566042914856
jio,JK-620040-P,919877535365,A2P_SMSIN_wifi,2026-02-06T19:49:44,0,,,,,,866566042914856
jio,AX-ICICIT-S,919877535365,A2P_SMSIN,2026-02-17T20:09:22,0,,,405857025DC25,,,866566042914856
jio,919877535365,919724417874,a_out,2026-02-24T20:03:29,52,,,40585703AD316,,40585703AD316,866566042914850
jio,JP-JIOPAY-S,919877535365,A2P_SMSIN,2026-03-04T19:04:42,0,,,4058570375B24,,,866566042914856
jio,AX-ICICIT-S,919877535365,A2P_SMSIN,2026-03-11T15:02:06,0,,,405857026EC10,,,866566042914856
jio,JP-JIOPAY-S,919877535365,A2P_SMSIN,2026-03-18T19:40:22,0,,,40585703AD323,,,866566042914856
jio,BG-YESBNK-S,919877535365,A2P_SMSIN,2026-03-28T15:36:32,0,,,40585703AD319,,,866566042914856
jio,JP-JioPay-S,919877535365,A2P_SMSIN,2026-04-05T10:48:42,0,,,40585703AD319,,,866566042914856
jio,918264264964,919877535365,a_in,2026-04-08T15:13:46,85,,,40585703AD316,,40585703AD316,866566042914850
jio,JP-JIOPAY-S,919877535365,A2P_SMSIN,2026-04-15T14:00:14,0,,,40585703AD319,,,866566042914856
jio,919725965222,919877535365,a_in,2026-04-28T10:55:51,72,,,40585703AD323,,40585703AD323,866566042914850
jio,AD-YESBNK-S,919877535365,A2P_SMSIN,2026-05-08T12:19:44,0,,,4058570149B12,,,866566042914856
jio,918264264964,919877535365,a_in,2026-05-21T12:29:54,9,,,40585703AD316,,40585703AD316,866566042914850
jio,AD-ICICIT-S,919877535365,A2P_SMSIN,2026-05-21T12:40:29,0,,,40585703AD319,,,866566042914856
jio,AX-ICICIT-S,919877535365,A2P_SMSIN,2026-05-21T12:45:20,0,,,40585703AD319,,,866566042914856
jio,919877535365,918264264964,a_out,2026-05-21T12:57:16,25,,,40585703AD319,,40585703AD323,866566042914850
jio,JD-FXLN-S,919877535365,A2P_SMSIN,2026-05-21T13:01:32,0,,,40585703AD323,,,866566042914856
