operator,target_number,b_party_number,call_type,timestamp,duration,latitude,longitude,first_cgi,first_bts_location,last_cgi,imei
vi,CALL_FORWARD :- Call Forward,,,,0,,,,,,
vi,LRN :-Local Routing Number,,,,0,,,,,,
vi,Note :- This is a System generated Report.,,,,0,,,,,,
vi,08980261614,06352663530,Incoming,2026-01-01T10:08:37,26,,,404056205320221,OPEN PLOT OF MR AMITBHAI VEENUBHAI CHAVDA GOPAL PARK NR SHIVSAGAR HALL PLOT NO 117 MOJE MAVDI DIST RAJKOT-360004,404056205528433,869236064978130
vi,08980261614,09772303390,Outgoing,2026-01-01T10:32:38,13,,,404056205520773,BUILDING OF MUNICIPALITY COMMERCIAL COMPLEX  MAHUDI PLOT  BEHIND FIRE STATION ALKA SOCIETY CHANDRESH NAGAR  RAJKOT  DIST-RAJKOT  GUJARAT-360001,404056205520773,869236064978130
vi,08980261614,09904155220,Outgoing,2026-01-07T19:29:49,50,,,404056205407712,BUILDING OF MRS KUSUMBEN MANSUKHLAL VASANI R/S NO.376 PLOT NO.11 C/S NO.4921VEGETABLE MARKET ROAD GONDAL ROAD BHAKTINAGAR RAJKOT STATE GUJARAT PINCOD,404056205407712,869236064978130
vi,08980261614,07016287475,Incoming,2026-01-13T13:57:06,29,,,404056205310981,OPEN PLOT OF SIDHARTH BHAI VISHAL COMPLEX  MAHUDI PLOT  DIST- RAJKOT GUJARAT.-360004,404056205310981,869236064978130
vi,08980261614,09558554600,Outgoing,2026-01-20T13:00:49,17,,,404056205528431,BUILDING OF NALINBHAI MAVADI ROAD AT:RAJKOT DIST:RAJKOT GUJARAT 360004,404056205528433,869236064978130
vi,08980261614,JX-HONDAM-S,Incoming,2026-01-24T18:59:28,1,,,404056205310981,OPEN PLOT OF SIDHARTH BHAI VISHAL COMPLEX  MAHUDI PLOT  DIST- RAJKOT GUJARAT.-360004,404056205310981,869236064978130
vi,08980261614,VG-ViCARE-S,Incoming,2026-01-29T20:12:51,1,,,404056001263,BUILDING OF RADHIKA COMPLEX  PATEL COLONY-3 MACHANI NAGAR CHANDRESH NAGAR  RAJKOT  DIST:-RAJKOT. GUJARAT-360004,404056001263,869236064978130
vi,08980261614,09664658749,Outgoing,2026-02-03T20:55:00,38,,,404056205528431,BUILDING OF NALINBHAI MAVADI ROAD AT:RAJKOT DIST:RAJKOT GUJARAT 360004,404056205320221,869236064978130
vi,08980261614,06351053125,Incoming,2026-02-09T15:25:09,39,,,404056205310982,OPEN PLOT OF SIDHARTH BHAI VISHAL COMPLEX  MAHUDI PLOT  DIST- RAJKOT GUJARAT.-360004,404056205310981,869236064978130
vi,08980261614,07777974670,Incoming,2026-02-14T09:58:07,27,,,404056205320221,OPEN PLOT OF MR AMITBHAI VEENUBHAI CHAVDA GOPAL PARK NR SHIVSAGAR HALL PLOT NO 117 MOJE MAVDI DIST RAJKOT-360004,404056205528433,869236064978130
